Sr_No,Tweets,Sentiment Polarity,Subjectivity,Date,Retweet Count
35,@Anil_Tulsiram Is it allowed to stafrom PBT? That's also something I found a little strange. Infosys was also my\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/I5cZtU2JZs,-0.11875,0.325,2017-09-30,0
36,Infosys Limited $INFY Cut to \xc3\xa2\xe2\x82\xac\xc5\x93Sell\xc3\xa2\xe2\x82\xac\xef\x86\x9d at BidaskClub https://t.co/WqK08oEUYi,-0.071428571428572,0.142857142857143,2017-09-30,0
37,@daijiworldmgl: Bengaluru: Email from unknown accuses Infosys of spreading terrorism\nhttps://t.co/aepFIi5Uxo https://t.co/JKh7vqY3LA,-0.1,0.6,2017-09-30,1
38,@leading_nowhere https://t.co/QxeTj3930k .. look at infosys page 116,0,0,2017-09-30,0
39,"Infosys rolls out ""driver-less golfing cart"" to showcase the power of AI | Gadgets Now https://t.co/m0Z94c2127",0,0,2017-09-30,0
40,@TVMohandasPai @nytimes @narendramodi You realised now only. What happened when u were in Infosys no idea abt Indi\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/3LAShJ9oQt,0,1,2017-09-30,0
41,Infosys Accelerates Private Cloud Adoption with Micro Focus SUSE Openstack Solution https://t.co/xt68aXiPBV,0,0.375,2017-09-30,0
42,Bengaluru: Email from unknown accuses Infosys of spreading terrorism\nhttps://t.co/aepFIi5Uxo https://t.co/JKh7vqY3LA,-0.1,0.6,2017-09-30,1
43,@yesvinay: Attending workshop on Android App Development by Infosys. Strongly feel students must take up building good apps as their fin\xc3\xa2\xe2\x82\xac\xc2\xa6,0.566666666666667,0.666666666666667,2017-09-30,1
44,Infosys introduces private cloud services built with Suse OpenStack - https://t.co/BQg7YUgoMC,0,0.375,2017-09-30,0
45,Infosys Limited $INFY Expected to Announce Quarterly Sales of $2.78 Billion https://t.co/aiweDBFYpA,-0.085714285714286,0.271428571428571,2017-09-30,0
46,@rameshsrivats: Wow. A 100-rupee coin. Truly a Vishal Sikka. https://t.co/ee3Er3QIqQ,0.1,1,2017-09-29,329
47,1morePunita Sinha on Infosis boardobjectedTOby foundersbut Gujju Vishal Sikka sidestepped them1st3r PSUbut Pun\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/wnmQ9wtRAv,0,0,2017-09-29,0
48,Demystifying AI ML DL with Vishal Sikka and real world examples https://t.co/xaXi5Se8PS,0.2,0.3,2017-09-27,0
49,Demystifying AI ML DL with Vishal Sikka and real world examples https://t.co/17rSrF5GEx via @diginomica,0.2,0.3,2017-09-26,0
50,@manu4luv: Earlier Vishal Sikka now Sanjay Rajagopalan quits ?\n\nSeems its my turn now ?,0,0.5,2017-09-21,2
51,@Kailash111Bhati: #Gulzar \nVishal Sikka \nBarcelona \n#LordKabirGod has come on the earth in the form of #SantRampalJi \nWatch ? \nIshwar\xc3\xa2\xe2\x82\xac\xc2\xa6,0,0,2017-09-20,248
52,Infosys gets a month to fix GSTN glitches https://t.co/UPiCCjmEjf,0,0,2017-10-01,0
53,@scbrief: Achieving Compliance To Foreign Supplier Verification Program (FSVP by @Infosys https://t.co/uTdd7FY0Kp #supplychain #logisti\xc3\xa2\xe2\x82\xac\xc2\xa6,-0.125,0.125,2017-10-01,1
54,Congratulations Sakshi for elected in Infosys.\n@TiwariTevar,0,0,2017-10-01,0
55,Achieving Compliance To Foreign Supplier Verification Program (FSVP by @Infosys https://t.co/uTdd7FY0Kp #supplychain #logistics,-0.125,0.125,2017-10-01,1
56,Indian IT company Infosys CEO Vishal Sikka resigns  https://t.co/9ZeHygRjrW,0,0,2017-10-01,0
57,@AnilaSingh2 @TimesNow @BJP4India @BJP4UP @myogiadityanath If u were the founder of Infosys honestly can u tell me\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/8CzXRuJGcB,0.6,0.9,2017-10-01,0
58,100+ questions infosys bet it will be what all the acronyms and what they mean plus the quick keys and what they mean,-0.097222222222222,0.625,2017-10-01,0
59,Cma Cgm Group Signs Strategic Partnership With Infosys To Accelerate Of Its Informa. [https://t.co/85GNnMUzff]\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/DL5sQ1jxYG,0,0,2017-10-01,0
60,@Narryhyd: This is awesome.. we contribute in a small way with our Pocharam campus fully on solar.. @Infosys https://t.co/tWOChmfv6Q,0.375,0.7,2017-10-01,13
61,#BPM Infosys Limited (INFY Position Increased by UBS Asset &lt;b&gt;Management&lt;/b&gt; Americas Inc\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/l5VZBFsZsJ,-0.071428571428572,0.142857142857143,2017-10-01,0
62,"@Infosys_nmurthy - Respected Sir . I am ready for ""earthshaking"" invention that would become household name globally. Need your support",0.1,0.25,2017-10-01,0
63,Dear Infosys!\nWhat is the Procedure to Get Transfer to Kerala? ?\nHave Literally fell in love with the People... https://t.co/OmZshr8to9,0.5,0.6,2017-10-01,0
64,"@oracleemeaps: Congratulations to our @oraclepartners #EMEAps @infosys ""Most Deals Booked"" @OracleCloud #OracleMSP. Time to celebrate at\xc3\xa2\xe2\x82\xac\xc2\xa6",0.5,0.5,2017-10-01,16
65,Growing #BookValue for #Infosys Ltd. #INFY https://t.co/JMmVKeAbTY,0,0,2017-10-01,0
66,@manaman_chhina @menakadoshi Infosys ? Punita Sinha is govt apointee,0,0,2017-10-01,0
67,Senior Technology Architect - US @Infosys Richardson TX #AMIL #Oracle https://t.co/weLcue2xxQ,0,0,2017-10-01,0
68,Idk when I will study. God Bless me and Infosys.,0,0,2017-10-01,0
69,Infosys exam please be good to me ?,0.7,0.6,2017-10-01,0
70,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/hvauNVyIEZ,-0.071428571428572,0.142857142857143,2017-10-01,0
71,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/1yhxoHVwrN,-0.071428571428572,0.142857142857143,2017-10-01,0
72,@DrGPradhan Structural reforms also needs some testing beforehand. No QA at all when Infosys tells on day of launch\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/LDRquTpZqM,0,0,2017-10-01,0
73,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/55EnwVRhoN,-0.071428571428572,0.142857142857143,2017-10-01,0
74,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/8gs2QKToSZ,-0.071428571428572,0.142857142857143,2017-10-01,0
75,@AshokKhemka_IAS: Larger war in Infosys is between ethics and more profits. Founders' vision is long term sustaining. Why conceal inquir\xc3\xa2\xe2\x82\xac\xc2\xa6,0.15,0.466666666666667,2017-10-01,105
76,@oracleemeaps @oraclepartners @Infosys @OracleCloud @oracleopenworld This is awesome!,1,1,2017-10-01,0
77,Infosys SAP Technical and Functional Openings neeraj.agarwal@infosys.com,0,0.1,2017-10-01,0
78,@RajeevSrinivasa Appalled that crappy article like this is endorsed by  infosys co-founder,-0.8,1,2017-10-01,0
79,@BAF_Fund: Infosys arm to take Indian start-up tech to global #financial clients https://t.co/FcYZfWkLrZ  #stocks #investment #Bitcoin #\xc3\xa2\xe2\x82\xac\xc2\xa6,0,0,2017-10-01,1
80,Global SmaGrid Data Analytics Market 2017: EMC Corporation SAS IBM SAP Verizon Infosys Accenture\xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/fmsJzfuTd9,0.107142857142857,0.321428571428571,2017-10-01,0
81,Transform your customer experience platform with Infosys CX solutions https://t.co/qg1f3NBn4j,0,0,2017-10-01,0
82,Visit Infosys powered #AI &amp; #Automation Central to discover the best of content on AI &amp; automation https://t.co/nhTrMRGkyy,0.5,0.275,2017-10-01,0
83,@rohitkb1109: How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://t.\xc3\xa2\xe2\x82\xac\xc2\xa6,0.214285714285714,0.428571428571429,2017-10-01,1
84,How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://t.co/Xe1G9FrSe0,0.214285714285714,0.428571428571429,2017-10-01,1
85,@Infosys: What are the near future implications of #AI in your industry? Read here https://t.co/FobFMLLPUR #InfosysInsights https://t.co\xc3\xa2\xe2\x82\xac\xc2\xa6,0.05,0.2625,2017-10-01,7
86,Infosys arm to take Indian start-up tech to global #financial clients https://t.co/FcYZfWkLrZ  #stocks #investment\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/o6r8EKzynN,0,0,2017-10-01,1
87,When Narayana Murthy started Infosys nobody believed software could be such a b... https://t.co/D9YASelX3b | ? by\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/P9nUGAiFls,0,0.5,2017-10-01,0
88,@gauravaolbhatt: Retweeted Amit Malviya (@malviyamit:\n\nInfosys is run by dynasts..? This man is genius.. https://t.co/A0fTtSI2bF https:\xc3\xa2\xe2\x82\xac\xc2\xa6,0,0,2017-10-01,1
89,@shuvankr: One BJP Minister's Wife also made Director of Infosys ..\nAhem Ahem ..\nCough Cough Cough\nunder #LootLoIndia scheme of Modi\xc3\xa2\xe2\x82\xac\xc2\xa6,0,0,2017-10-01,3
90,@of_common @republic On tht I am with u. And @republic too asking these questions to govt. Infosys is responsible f\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/3lr3X1k91z,0.2,0.55,2017-10-01,0
91,@VicGovernor: A privilege to visit @infosys - an ICT leader in both Bengaluru and Victoria @TradeVictoria @InvestVictoria @AusCGChennai\xc3\xa2\xe2\x82\xac\xc2\xa6,0,0,2017-10-01,6
92,Infosys Finacle Lite powered by Red Hat Enterprise Linux and Jboss Middleware https://t.co/6wE1sZfduk,0,0,2017-10-01,0
93,Infosys introduces private cloud services built with Suse OpenStack - https://t.co/LadAzOCj4q,0,0.375,2017-10-01,0
94,i need 280 characters to gripe about my lazy fuck intro to infosys teacher,-0.325,0.8,2017-10-01,0
95,@RdNitin: @vinodja98483211 Oh ok.... TCS Infosys L&amp;T100s of Indian MNCs must also be targeted right?.. Anyways appreciate ur whole he\xc3\xa2\xe2\x82\xac\xc2\xa6,0.328571428571429,0.478571428571429,2017-10-01,1
96,One BJP Minister's Wife also made Director of Infosys ..\nAhem Ahem ..\nCough Cough Cough\nunder #LootLoIndia schem\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/fj60CpqNNc,0,0,2017-10-01,3
97,@in_tradingview: #INFY - Infosys 27-09-2017 Intraday &amp; Positional - https://t.co/n4Bxgykxkz,0,0,2017-10-01,1
98,@surewrap: @republic Once digitisation is smooth ppl will be haapy and growth will accelerate.There are companies like Infosys TCS Wip\xc3\xa2\xe2\x82\xac\xc2\xa6,0.4,0.5,2017-10-01,1
99,@republic Once digitisation is smooth ppl will be haapy and growth will accelerate.There are companies like Infosys\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/i6LwOAg6vG,0.4,0.5,2017-10-01,1
100,Infosys gets a month to fix GSTN glitches https://t.co/E6aTYM52X7,0,0,2017-10-01,0
101,@BSNLCorporate  the 3G service which you give  pathetic at many places of TVM including kazhakkottam (infosys campus. Please fix it..,-0.25,0.75,2017-10-01,0
102,currently no motivation in studying infosys if she\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s just gonna tell me that i\xc3\xa2\xe2\x82\xac\xe2\x84\xa2m a fucking failure&amp; how her other student is so much better,-0.05625,0.51875,2017-10-01,0
103,Online is no longer a suppomechanism to physical stores -  Subhashis NathAVPSenior Industry Principal Infosys.\nhttps://t.co/LOqwmd8TcU,0,0.142857142857143,2017-10-01,1
104,@AshDubey_: The issue is in defective software .. Infosys has delivered poor piece of code.They need to be penalized .. \nBut how come GS\xc3\xa2\xe2\x82\xac\xc2\xa6,-0.4,0.6,2017-10-01,6
105,@craigbrownphd: Huawei Partners with Infosys and Wapwag to Release Innovative Practices Based on Open Edge\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/JhlF06VqcZ #Big\xc3\xa2\xe2\x82\xac\xc2\xa6,0.25,0.75,2017-10-01,274
106,@GujralAshwani: \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Ashwani Gujral Makes Fortune In Duel Between Narayana Murthy &amp; Vishal Sikka https://t.co/mGDFOwsZAF,0,0,2017-09-30,8
107,@puneetsuppal: Amazing energy at the @Infosys booth 1602 at #OOW17. #InfosysAtOOW @InfosysEvents https://t.co/BJpqPCqjCO,0.6,0.9,2017-10-02,1
108,Spin to win at the @Infosys booth at #OOW17 this week! #InfosysAtOOW #digitaltransformation https://t.co/WwqxjfBQhY,1,0.4,2017-10-02,0
109,Amazing energy at the @Infosys booth 1602 at #OOW17. #InfosysAtOOW @InfosysEvents https://t.co/BJpqPCqjCO,0.6,0.9,2017-10-02,1
110,Fluid flow #loved_it @ Infosys Mysore Campus https://t.co/ltmpnEj2jl,0,0.1,2017-10-02,0
111,@PurposefulAI: With #InfosysNia leverage knowledge to do incredible things at @oracleopenworld booth: #1602 https://t.co/ot4YxS3pFS #OOW\xc3\xa2\xe2\x82\xac\xc2\xa6,0.9,0.9,2017-10-02,1
112,With #InfosysNia leverage knowledge to do incredible things at @oracleopenworld booth: #1602 https://t.co/ot4YxS3pFS #OOW17 #AI @Infosys,0.9,0.9,2017-10-02,1
113,Here's a timeline of events of India\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s second-largest software exporter #Infosys https://t.co/NHJSKYWYtC \xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/DfVMQhBKeY,0,0,2017-10-02,0
114,@NAR Infosys is dying ?,0,0,2017-10-02,0
115,@InfosysEvents: Explore the @Infosys #VR experience at #OOW17 for your chance to win a wireless travel keyboard! #InfosysAtOOW https://t\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.4,2017-10-02,1
116,Swachhta as service observed in the iconic trivandrum central rly station in association with infosys https://t.co/SFwQnCKzrP,0.25,0.375,2017-10-02,0
117,Trivandrum central station provides a perfect setting for the spread of swachhta movement_ flash mob by infosys team https://t.co/bHKY17pmlR,0.5,0.625,2017-10-02,0
118,Looking for a job in the @Oracle ecosphere? See Richard at #OOW17 booth 1602. #hiring #jobs #InfosysAtOOW\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/aOT0hLy8mn,0,0,2017-10-02,0
119,@rohit_amplifies: If you are present at #OOW17 then you should try your hand at the DM Magnet challenge at @Infosys @Panaya booth 1602 h\xc3\xa2\xe2\x82\xac\xc2\xa6,0,0,2017-10-02,1
120,.@Infosys gives you the chance to win a wireless travel keyboard at both 1602 at #OOW17. What are you waiting for? https://t.co/w0p4q3x8BG,0.8,0.4,2017-10-02,0
121,If you are present at #OOW17 then you should try your hand at the DM Magnet challenge at @Infosys @Panaya booth 1602 https://t.co/NvRGK4L2nH,0,0,2017-10-02,1
122,@askGSTech Sir any video tutorials prepared regarding filling of Tran 1.???@GST_Council @adhia03 @Infosys,0,0,2017-10-02,0
123,Explore the @Infosys #VR experience at #OOW17 for your chance to win a wireless travel keyboard! #InfosysAtOOW https://t.co/6yziRR1atK,1,0.4,2017-10-02,1
124,@Infosys: How can #travel and leisure industry bank on #IoT and apps to make travel personalized &amp; enjoyable? https://t.co/eTumIv7zfW #I\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5,0.6,2017-10-02,2
125,@BankoftheWest in major tech #modernisation @Infosys @Finacle \xc3\x82\xc2\xbb #BankingTechnology https://t.co/2ZeelmY7E1,0.0625,0.5,2017-10-02,0
126,We're ready for the show floor to open here at #OOW17! Meet our experts at booth 1602. #InfosysAtOOW\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/kKVxLXuugW,0.1,0.5,2017-10-02,0
127,Planning to order food online? Infosys #Automation Platform may have a hand in serving you. Learn more https://t.co/haKxj0R37H,0.5,0.5,2017-10-02,0
128,@BloombergQuint: #BQLive Hot Money | What's the outlook for Sun Pharma Infosys GAIL Cyient &amp; Titan? Tune in to find out. https://t.co\xc3\xa2\xe2\x82\xac\xc2\xa6,0.25,0.85,2017-10-02,12
129,@InfosysEvents: #InfosysAtOOW: Ready for the #digitaltransformation storm? Know more at booth 1602! https://t.co/dKp9xFWJ9e #InfosysAtOO\xc3\xa2\xe2\x82\xac\xc2\xa6,0.4125,0.5,2017-10-02,1
130,Infosys Accelerates Private Cloud Adoption with Micro Focus SUSE Openstack Solution https://t.co/t06SWP48Iy,0,0.375,2017-10-02,0
131,#InfosysAtOOW: Ready for the #digitaltransformation storm? Know more at booth 1602! https://t.co/dKp9xFWJ9e\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/L6ANRleE9x,0.4125,0.5,2017-10-02,1
132,Planning to order food online? Infosys #Automation Platform may have a hand in serving you. Learn more https://t.co/9Gx4FyM0Rb,0.5,0.5,2017-10-02,0
133,Infosys #Automation Platform helps food service industry from web ordering to warehouse management to order https://t.co/P8NSNnKSac,0,0,2017-10-02,0
134,Boston Common Asset Management LLC Sells 3775 Shares of Infosys Limited $INFY https://t.co/Z90v0W5rrL,-0.185714285714286,0.321428571428571,2017-10-02,0
135,Reviewing Infosys Limited $INFY &amp; Science Applications International Corporation $SAIC https://t.co/WtyF1DHcKw,-0.035714285714286,0.071428571428572,2017-10-02,0
136,@Deishma: Infosys trading at $14.62. Likely to open Gap @ 920 if stays so by close ! https://t.co/aS6siVZspW,0,0.75,2017-10-02,3
137,@sajeev1112 @Ananth_Krishna_ @ChandrusWeb news says Infosys has done it for Hindi.  I assume it's the core banking\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/wMmZp6NSzI,0,0,2017-10-02,0
138,Process Specialist https://t.co/hl26T9qdj9 Infosys\n Location : Mysore KA IN\nCompany: iBPO Job ID/Ref Code: Inf_... https://t.co/f2EKgzItMA,0,0,2017-10-02,0
139,@nanjappa_bs: Milestone celebrations @Infosys ! A big thank you to Infoscions and their families for a lifetime of contributions #ProudI\xc3\xa2\xe2\x82\xac\xc2\xa6,0,0.1,2017-10-02,15
140,@MinIT_Telangana \nThere should be branches of all IT companies like Infosys TCS etc in all district head quarters.\nAnd provide jobs,0,0,2017-10-02,0
141,Infosys trading at $14.62. Likely to open Gap @ 920 if stays so by close ! https://t.co/aS6siVZspW,0,0.75,2017-10-02,3
142,@Indiana_EDC: Thanks to companies like @salesforce @Infosys @Emarsys @emplify &amp; more who have helped shape #IN's growing reputation a\xc3\xa2\xe2\x82\xac\xc2\xa6,0.35,0.35,2017-10-02,3
143,INFY 14.54 Infosys Ltd $INFY Std Dev +2.55. INFY Trading at 14.54 Day High 14.56 &amp; Day Low 14.29 Change -0.05  https://t.co/4ub1N5Tvff,0.08,0.42,2017-10-02,0
144,Thanks to companies like @salesforce @Infosys @Emarsys @emplify &amp; more who have helped shape #IN's growing reput\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/I7ql4dxK3x,0.35,0.35,2017-10-02,3
145,Indian Vendors need to look to DXC to understand their future. https://t.co/s0J3HsLVyz \xc3\xa2\xe2\x82\xac\xc2\xa6 #india @offshore #HCL #TCS #Wipro #infosys #DXC,0,0.125,2017-10-02,0
146,@Infosys: Planning to order food online? Infosys #Automation Platform may have a hand in serving you. Learn more https://t.co/VUj3Pluhd8,0.5,0.5,2017-10-02,2
147,M&amp;T Bank Corp Buys 590 Shares of Infosys Limited $INFY https://t.co/D7AWCdXLcv,-0.071428571428572,0.142857142857143,2017-10-02,0
148,M&amp;T Bank Corp Buys 590 Shares of Infosys Limited $INFY https://t.co/SN8GcoHrVf,-0.071428571428572,0.142857142857143,2017-10-02,0
149,M&amp;T Bank Corp Buys 590 Shares of Infosys Limited $INFY https://t.co/OA7WD88RDT,-0.071428571428572,0.142857142857143,2017-10-02,0
150,@srvsofficial @askGSTech (4/nSo I like Modi and GST too but we must criticize how GSTN and @Infosys have created this most imported portal.,0.5,0.5,2017-10-02,0
151,exactly...when will Mr Infosys @KhiladiRulez realise this https://t.co/jK26dmVCA1,0,0,2017-10-02,0
152,Applied for my PF in June. Company says PF department not accept forms due to reconciliation. Please help @santoshgangwar @Infosys_BPO,-0.125,0.375,2017-10-02,0
153,"What is ""computer science""? https://t.co/NehjgrI6FG via @Infosys w/ Alan Kay presenting ""Rethinking CS Education""\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/30LAjtPVAI",0,0,2017-10-02,0
154,Planning to order food online? Infosys #Automation Platform may have a hand in serving you. Learn more https://t.co/VUj3Pluhd8,0.5,0.5,2017-10-02,2
155,Infosys Limited $INFY Shares Sold by Lazard Asset Management LLC https://t.co/pp8cAG4gV3,-0.071428571428572,0.142857142857143,2017-10-02,0
156,US-based @BankoftheWest undergoes digital overhaul with the integration of @Infosys' Finacle more on\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/B86i9mEOk3,0.25,0.25,2017-10-02,0
157,Cyber threat to payment industry demands multi-layer defence\nhttps://t.co/3lgNSf1C6N #CyberSecurity #Security #payments #infosec #infosys,0,0,2017-10-02,0
158,@Ncherukupalli: How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://\xc3\xa2\xe2\x82\xac\xc2\xa6,0.214285714285714,0.428571428571429,2017-10-02,1
159,@Ncherukupalli: Visit Infosys powered #AI &amp; #Automation Central to discover the best of content on AI &amp; automation https://t.co/T2qQ8ROg\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5,0.275,2017-10-02,1
160,Visit Infosys powered #AI &amp; #Automation Central to discover the best of content on AI &amp; automation https://t.co/T2qQ8ROg6t,0.5,0.275,2017-10-02,1
161,How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://t.co/QdvX0qWxmO,0.214285714285714,0.428571428571429,2017-10-02,1
162,Baillie Gifford &amp; Company Has Trimmed Infosys LTD Adr (INFY Position; Ansys Has\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/hzvUmqzMjw https://t.co/fbKP6MSgNU,0,0,2017-10-02,0
163,@kbsconsultants: Failure of GST Network 2 accept returns is the cause 4 lower tax collections.Proves that #Infosys is incompetent n shou\xc3\xa2\xe2\x82\xac\xc2\xa6,-0.333333333333333,0.333333333333333,2017-10-02,34
164,@WMBtweets: India's leading companies including @Infosys @TataMotors @MahindraRise @DalmiaBharat + @Wipro are taking action #RE100 @CDP\xc3\xa2\xe2\x82\xac\xc2\xa6,0.1,0.1,2017-10-02,2
