Sr No,Tweets,Retweet_Count,Sentiment_Polarity,Subjectivity
75,@AshokKhemka_IAS: Larger war in Infosys is between ethics and more profits. Founders' vision is long term sustaining. Why conceal inquir\xc3\xa2\xe2\x82\xac\xc2\xa6,105,0.15,0.466666666666667
76,@oracleemeaps @oraclepartners @Infosys @OracleCloud @oracleopenworld This is awesome!,0,1,1
77,Infosys SAP Technical and Functional Openings neeraj.agarwal@infosys.com,0,0,0.1
78,@RajeevSrinivasa Appalled that crappy article like this is endorsed by  infosys co-founder,0,-0.8,1
79,@BAF_Fund: Infosys arm to take Indian start-up tech to global #financial clients https://t.co/FcYZfWkLrZ  #stocks #investment #Bitcoin #\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0,0
80,Global SmaGrid Data Analytics Market 2017: EMC Corporation SAS IBM SAP Verizon Infosys Accenture\xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/fmsJzfuTd9,0,0.107142857142857,0.321428571428571
81,Transform your customer experience platform with Infosys CX solutions https://t.co/qg1f3NBn4j,0,0,0
82,Visit Infosys powered #AI &amp; #Automation Central to discover the best of content on AI &amp; automation https://t.co/nhTrMRGkyy,0,0.5,0.275
83,@rohitkb1109: How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://t.\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.214285714285714,0.428571428571429
84,How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://t.co/Xe1G9FrSe0,1,0.214285714285714,0.428571428571429
85,@Infosys: What are the near future implications of #AI in your industry? Read here https://t.co/FobFMLLPUR #InfosysInsights https://t.co\xc3\xa2\xe2\x82\xac\xc2\xa6,7,0.05,0.2625
86,Infosys arm to take Indian start-up tech to global #financial clients https://t.co/FcYZfWkLrZ  #stocks #investment\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/o6r8EKzynN,1,0,0
87,When Narayana Murthy started Infosys nobody believed software could be such a b... https://t.co/D9YASelX3b | ? by\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/P9nUGAiFls,0,0,0.5
88,@gauravaolbhatt: Retweeted Amit Malviya (@malviyamit:\n\nInfosys is run by dynasts..? This man is genius.. https://t.co/A0fTtSI2bF https:\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0,0
89,@shuvankr: One BJP Minister's Wife also made Director of Infosys ..\nAhem Ahem ..\nCough Cough Cough\nunder #LootLoIndia scheme of Modi\xc3\xa2\xe2\x82\xac\xc2\xa6,3,0,0
90,@of_common @republic On tht I am with u. And @republic too asking these questions to govt. Infosys is responsible f\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/3lr3X1k91z,0,0.2,0.55
91,@VicGovernor: A privilege to visit @infosys - an ICT leader in both Bengaluru and Victoria @TradeVictoria @InvestVictoria @AusCGChennai\xc3\xa2\xe2\x82\xac\xc2\xa6,6,0,0
92,Infosys Finacle Lite powered by Red Hat Enterprise Linux and Jboss Middleware https://t.co/6wE1sZfduk,0,0,0
93,Infosys introduces private cloud services built with Suse OpenStack - https://t.co/LadAzOCj4q,0,0,0.375
94,i need 280 characters to gripe about my lazy fuck intro to infosys teacher,0,-0.325,0.8
95,@RdNitin: @vinodja98483211 Oh ok.... TCS Infosys L&amp;T100s of Indian MNCs must also be targeted right?.. Anyways appreciate ur whole he\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.328571428571429,0.478571428571429
96,One BJP Minister's Wife also made Director of Infosys ..\nAhem Ahem ..\nCough Cough Cough\nunder #LootLoIndia schem\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/fj60CpqNNc,3,0,0
97,@in_tradingview: #INFY - Infosys 27-09-2017 Intraday &amp; Positional - https://t.co/n4Bxgykxkz,1,0,0
98,@surewrap: @republic Once digitisation is smooth ppl will be haapy and growth will accelerate.There are companies like Infosys TCS Wip\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.4,0.5
99,@republic Once digitisation is smooth ppl will be haapy and growth will accelerate.There are companies like Infosys\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/i6LwOAg6vG,1,0.4,0.5
100,Infosys gets a month to fix GSTN glitches https://t.co/E6aTYM52X7,0,0,0
101,@BSNLCorporate  the 3G service which you give  pathetic at many places of TVM including kazhakkottam (infosys campus. Please fix it..,0,-0.25,0.75
102,currently no motivation in studying infosys if she\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s just gonna tell me that i\xc3\xa2\xe2\x82\xac\xe2\x84\xa2m a fucking failure&amp; how her other student is so much better,0,-0.05625,0.51875
103,Online is no longer a suppomechanism to physical stores -  Subhashis NathAVPSenior Industry Principal Infosys.\nhttps://t.co/LOqwmd8TcU,1,0,0.142857142857143
104,@AshDubey_: The issue is in defective software .. Infosys has delivered poor piece of code.They need to be penalized .. \nBut how come GS\xc3\xa2\xe2\x82\xac\xc2\xa6,6,-0.4,0.6
105,@craigbrownphd: Huawei Partners with Infosys and Wapwag to Release Innovative Practices Based on Open Edge\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/JhlF06VqcZ #Big\xc3\xa2\xe2\x82\xac\xc2\xa6,274,0.25,0.75
106,@GujralAshwani: \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Ashwani Gujral Makes Fortune In Duel Between Narayana Murthy &amp; Vishal Sikka https://t.co/mGDFOwsZAF,8,0,0
107,@puneetsuppal: Amazing energy at the @Infosys booth 1602 at #OOW17. #InfosysAtOOW @InfosysEvents https://t.co/BJpqPCqjCO,1,0.6,0.9
108,Spin to win at the @Infosys booth at #OOW17 this week! #InfosysAtOOW #digitaltransformation https://t.co/WwqxjfBQhY,0,1,0.4
109,Amazing energy at the @Infosys booth 1602 at #OOW17. #InfosysAtOOW @InfosysEvents https://t.co/BJpqPCqjCO,1,0.6,0.9
110,Fluid flow #loved_it @ Infosys Mysore Campus https://t.co/ltmpnEj2jl,0,0,0.1
111,@PurposefulAI: With #InfosysNia leverage knowledge to do incredible things at @oracleopenworld booth: #1602 https://t.co/ot4YxS3pFS #OOW\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.9,0.9
112,With #InfosysNia leverage knowledge to do incredible things at @oracleopenworld booth: #1602 https://t.co/ot4YxS3pFS #OOW17 #AI @Infosys,1,0.9,0.9
113,Here's a timeline of events of India\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s second-largest software exporter #Infosys https://t.co/NHJSKYWYtC \xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/DfVMQhBKeY,0,0,0
114,@NAR Infosys is dying ?,0,0,0
115,@InfosysEvents: Explore the @Infosys #VR experience at #OOW17 for your chance to win a wireless travel keyboard! #InfosysAtOOW https://t\xc3\xa2\xe2\x82\xac\xc2\xa6,1,1,0.4
116,Swachhta as service observed in the iconic trivandrum central rly station in association with infosys https://t.co/SFwQnCKzrP,0,0.25,0.375
117,Trivandrum central station provides a perfect setting for the spread of swachhta movement_ flash mob by infosys team https://t.co/bHKY17pmlR,0,0.5,0.625
118,Looking for a job in the @Oracle ecosphere? See Richard at #OOW17 booth 1602. #hiring #jobs #InfosysAtOOW\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/aOT0hLy8mn,0,0,0
119,@rohit_amplifies: If you are present at #OOW17 then you should try your hand at the DM Magnet challenge at @Infosys @Panaya booth 1602 h\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0,0
120,.@Infosys gives you the chance to win a wireless travel keyboard at both 1602 at #OOW17. What are you waiting for? https://t.co/w0p4q3x8BG,0,0.8,0.4
121,If you are present at #OOW17 then you should try your hand at the DM Magnet challenge at @Infosys @Panaya booth 1602 https://t.co/NvRGK4L2nH,1,0,0
122,@askGSTech Sir any video tutorials prepared regarding filling of Tran 1.???@GST_Council @adhia03 @Infosys,0,0,0
123,Explore the @Infosys #VR experience at #OOW17 for your chance to win a wireless travel keyboard! #InfosysAtOOW https://t.co/6yziRR1atK,1,1,0.4
124,@Infosys: How can #travel and leisure industry bank on #IoT and apps to make travel personalized &amp; enjoyable? https://t.co/eTumIv7zfW #I\xc3\xa2\xe2\x82\xac\xc2\xa6,2,0.5,0.6
125,@BankoftheWest in major tech #modernisation @Infosys @Finacle \xc3\x82\xc2\xbb #BankingTechnology https://t.co/2ZeelmY7E1,0,0.0625,0.5
126,We're ready for the show floor to open here at #OOW17! Meet our experts at booth 1602. #InfosysAtOOW\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/kKVxLXuugW,0,0.1,0.5
127,Planning to order food online? Infosys #Automation Platform may have a hand in serving you. Learn more https://t.co/haKxj0R37H,0,0.5,0.5
128,@BloombergQuint: #BQLive Hot Money | What's the outlook for Sun Pharma Infosys GAIL Cyient &amp; Titan? Tune in to find out. https://t.co\xc3\xa2\xe2\x82\xac\xc2\xa6,12,0.25,0.85
129,@InfosysEvents: #InfosysAtOOW: Ready for the #digitaltransformation storm? Know more at booth 1602! https://t.co/dKp9xFWJ9e #InfosysAtOO\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.4125,0.5
130,Infosys Accelerates Private Cloud Adoption with Micro Focus SUSE Openstack Solution https://t.co/t06SWP48Iy,0,0,0.375
131,#InfosysAtOOW: Ready for the #digitaltransformation storm? Know more at booth 1602! https://t.co/dKp9xFWJ9e\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/L6ANRleE9x,1,0.4125,0.5
132,Planning to order food online? Infosys #Automation Platform may have a hand in serving you. Learn more https://t.co/9Gx4FyM0Rb,0,0.5,0.5
133,Infosys #Automation Platform helps food service industry from web ordering to warehouse management to order https://t.co/P8NSNnKSac,0,0,0
134,Boston Common Asset Management LLC Sells 3775 Shares of Infosys Limited $INFY https://t.co/Z90v0W5rrL,0,-0.185714285714286,0.321428571428571
135,Reviewing Infosys Limited $INFY &amp; Science Applications International Corporation $SAIC https://t.co/WtyF1DHcKw,0,-0.035714285714286,0.071428571428572
136,@Deishma: Infosys trading at $14.62. Likely to open Gap @ 920 if stays so by close ! https://t.co/aS6siVZspW,3,0,0.75
137,@sajeev1112 @Ananth_Krishna_ @ChandrusWeb news says Infosys has done it for Hindi.  I assume it's the core banking\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/wMmZp6NSzI,0,0,0
138,Process Specialist https://t.co/hl26T9qdj9 Infosys\n Location : Mysore KA IN\nCompany: iBPO Job ID/Ref Code: Inf_... https://t.co/f2EKgzItMA,0,0,0
139,@nanjappa_bs: Milestone celebrations @Infosys ! A big thank you to Infoscions and their families for a lifetime of contributions #ProudI\xc3\xa2\xe2\x82\xac\xc2\xa6,15,0,0.1
140,@MinIT_Telangana \nThere should be branches of all IT companies like Infosys TCS etc in all district head quarters.\nAnd provide jobs,0,0,0
141,Infosys trading at $14.62. Likely to open Gap @ 920 if stays so by close ! https://t.co/aS6siVZspW,3,0,0.75
142,@Indiana_EDC: Thanks to companies like @salesforce @Infosys @Emarsys @emplify &amp; more who have helped shape #IN's growing reputation a\xc3\xa2\xe2\x82\xac\xc2\xa6,3,0.35,0.35
143,INFY 14.54 Infosys Ltd $INFY Std Dev +2.55. INFY Trading at 14.54 Day High 14.56 &amp; Day Low 14.29 Change -0.05  https://t.co/4ub1N5Tvff,0,0.08,0.42
144,Thanks to companies like @salesforce @Infosys @Emarsys @emplify &amp; more who have helped shape #IN's growing reput\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/I7ql4dxK3x,3,0.35,0.35
145,Indian Vendors need to look to DXC to understand their future. https://t.co/s0J3HsLVyz \xc3\xa2\xe2\x82\xac\xc2\xa6 #india @offshore #HCL #TCS #Wipro #infosys #DXC,0,0,0.125
146,@Infosys: Planning to order food online? Infosys #Automation Platform may have a hand in serving you. Learn more https://t.co/VUj3Pluhd8,2,0.5,0.5
147,M&amp;T Bank Corp Buys 590 Shares of Infosys Limited $INFY https://t.co/D7AWCdXLcv,0,-0.071428571428572,0.142857142857143
148,M&amp;T Bank Corp Buys 590 Shares of Infosys Limited $INFY https://t.co/SN8GcoHrVf,0,-0.071428571428572,0.142857142857143
149,M&amp;T Bank Corp Buys 590 Shares of Infosys Limited $INFY https://t.co/OA7WD88RDT,0,-0.071428571428572,0.142857142857143
150,@srvsofficial @askGSTech (4/nSo I like Modi and GST too but we must criticize how GSTN and @Infosys have created this most imported portal.,0,0.5,0.5
151,exactly...when will Mr Infosys @KhiladiRulez realise this https://t.co/jK26dmVCA1,0,0,0
152,Applied for my PF in June. Company says PF department not accept forms due to reconciliation. Please help @santoshgangwar @Infosys_BPO,0,-0.125,0.375
153,"What is ""computer science""? https://t.co/NehjgrI6FG via @Infosys w/ Alan Kay presenting ""Rethinking CS Education""\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/30LAjtPVAI",0,0,0
154,Planning to order food online? Infosys #Automation Platform may have a hand in serving you. Learn more https://t.co/VUj3Pluhd8,2,0.5,0.5
155,Infosys Limited $INFY Shares Sold by Lazard Asset Management LLC https://t.co/pp8cAG4gV3,0,-0.071428571428572,0.142857142857143
156,US-based @BankoftheWest undergoes digital overhaul with the integration of @Infosys' Finacle more on\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/B86i9mEOk3,0,0.25,0.25
157,Cyber threat to payment industry demands multi-layer defence\nhttps://t.co/3lgNSf1C6N #CyberSecurity #Security #payments #infosec #infosys,0,0,0
158,@Ncherukupalli: How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.214285714285714,0.428571428571429
159,@Ncherukupalli: Visit Infosys powered #AI &amp; #Automation Central to discover the best of content on AI &amp; automation https://t.co/T2qQ8ROg\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.5,0.275
160,Visit Infosys powered #AI &amp; #Automation Central to discover the best of content on AI &amp; automation https://t.co/T2qQ8ROg6t,1,0.5,0.275
161,How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://t.co/QdvX0qWxmO,1,0.214285714285714,0.428571428571429
162,Baillie Gifford &amp; Company Has Trimmed Infosys LTD Adr (INFY Position; Ansys Has\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/hzvUmqzMjw https://t.co/fbKP6MSgNU,0,0,0
163,@kbsconsultants: Failure of GST Network 2 accept returns is the cause 4 lower tax collections.Proves that #Infosys is incompetent n shou\xc3\xa2\xe2\x82\xac\xc2\xa6,34,-0.333333333333333,0.333333333333333
164,@WMBtweets: India's leading companies including @Infosys @TataMotors @MahindraRise @DalmiaBharat + @Wipro are taking action #RE100 @CDP\xc3\xa2\xe2\x82\xac\xc2\xa6,2,0.1,0.1
165,Infosys friday..... wearing pyjamas to office... justlikethat,0,0,0
166,Indranil Mukherjee VP &amp; Head \xc3\xa2\xe2\x82\xac\xe2\x80\x9c @Oracle Practice @Infosys. will be present at booth 1602 at #OOW17 to meet you! https://t.co/2GlSpOVkQ7,0,0,0
167,.@Oracle solutions coupled with next-gen tech fetch best biz results. Know more about @Infosys solutions at #OOW17 https://t.co/20P135YIr7,0,0.75,0.4
168,@LondonTech_: ADHamilton91: I'll be chatting to Infosys Misys Temenos D+H and Taskize today at #Sibos - let me know if you have an\xc3\xa2\xe2\x82\xac\xc2\xa6,5,0,0
169,#businesses some time needs new #ceo for #Resurrection #revitalization rather then #development #uber #ford #infosys.https://t.co/MbaVQRfInh,0,0.136363636363636,0.454545454545455
170,Just for a little while... #infosysconsulting (@ Infosys Consulting in Central Hong Kong https://t.co/8pFcPefCAr https://t.co/q8uEnVTDOD,0,-0.09375,0.375
171,"@ManishTewari @drajoykumar @RajivKumar1 Sir As per @Infosys_nmurthy  ""While we all Trust God rest of us have to bring data to the table.""",0,0,0
172,tangina pagod infosys and it\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s not even done yet ?,0,0,0
173,ShoInterest in Infosys Limited $INFY Decreases By 4.9% https://t.co/zuBfG8JNa3,0,-0.035714285714286,0.221428571428571
174,ShoInterest in Infosys Limited $INFY Decreases By 4.9% https://t.co/XIcVvD0C3y,0,-0.035714285714286,0.221428571428571
175,ShoInterest in Infosys Limited $INFY Decreases By 4.9% https://t.co/1RWGC4nnW4,0,-0.035714285714286,0.221428571428571
176,@_SocialStory: #Infosys signs an MoU with #IISc Bangalore for 5 cr to improve research on infectious diseases https://t.co/l7fNOsuAiU h\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0,0
177,#3Dprinting is making a dent in niche areas but not across traditional #mfg. Good @Infosys article https://t.co/EAPqKh3X46,0,0.35,0.675
178,@askGSTech @GST_Council @adhia03 @Rishikova Sir Infosys person at seva Kendra chennai was unable to resolve our iss\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/NDBXLKsZ4r,0,-0.5,0.5
179,#Infosys signs an MoU with #IISc Bangalore for 5 cr to improve research on infectious diseases\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/2R9syzm558,1,0,0
180,@loosebool it not show incompetence of Infosys rather than the govt?,0,0,0
